,,,,,Llama3.1-8B,,,,Llama3.1-70B,,,,Llama3.1-405B,,,,Gemini1.5-pro,,,,GPT-4.0mini,,,,GPT-4.0,,,,Claude-3.5,,,,OpenAI-o3-mini,,,,DeepSeek-Reasoner,,,,o3-mini(one_shot),,,,Claude-3.5(single-state),,,,DeepSeek-Reasoner(two_shot),,,,GPT-4o(tool_agent),,,,GPT-4o(single_state),,,,Claude-3.5(without_summarizer),,,,Claude-3.5(without_thought),,,,GPT-4o(without_summarizer),,,
s10.5,phisher,Easy,Miscellaneous,Collection,fail,0/1,round_exceed,,fail,,wrong_answer,,pass,,,,fail,,wrong_answer,3,fail,,wrong_answer,5,pass,01-Jan,,4,pass,,,5,fail,,wrong_answer,2,pass,,,4,pass,,,,pass,,,,fail,,,,fail,,,,pass,,,,pass,,,,fail,,,,pass,,,
s10.6,phisher,Easy,Miscellaneous,Collection,fail,0/1,round_exceed,,pass,,,,pass,,,,fail,,wrong_answer,2,fail,,wrong_answer,4,pass,01-Jan,,3,pass,,,3,pass,,,5,pass,,,3,pass,,,,pass,,,,fail,,,,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,
s10.7,phisher,Easy,Miscellaneous,Exfiltration,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,pass,,,3,fail,,wrong_answer,3,pass,01-Jan,,3,pass,,,4,fail,,wrong_answer,3,pass,,,3,pass,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,,fail,,,
s10.8,phisher,Easy,Miscellaneous,Exfiltration,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,6,fail,,wrong_answer,5,pass,01-Jan,,4,pass,,,3,fail,,wrong_answer,3,fail,,give_up,7,pass,,,,pass,,,,fail,,,,pass,,,,fail,,,,pass,,,,pass,,,,fail,,,
s10.9,phisher,Easy,Miscellaneous,Exfiltration,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,3,fail,,wrong_answer,5,pass,01-Jan,,3,pass,,,4,fail,,wrong_answer,3,pass,,,5,pass,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,,pass,,,,fail,,,
s10.10,phisher,Easy,Miscellaneous,,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,6,fail,,wrong_answer,5,pass,0/1,,3,pass,,,5,fail,,wrong_answer,4,fail,,wrong_answer,3,fail,,,,pass,,,,fail,,,,fail,,,,pass,,,,pass,,,,pass,,,,fail,,,
s10.11,phisher,Easy,Miscellaneous,,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,2,fail,,wrong_answer,2,fail,0/1,give_up,2,fail,,wrong_answer,3,fail,,wrong_answer,3,fail,,give_up,2,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,
s10.12,phisher,Easy,Miscellaneous,,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,2,fail,,wrong_answer,2,fail,0/1,give_up,2,fail,,wrong_answer,3,fail,,wrong_answer,3,fail,,give_up,2,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s13.1 (PsExec),PsExec,Easy,Network Forensics,Initial Access,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,pass,,,7,pass,,,4,pass,01-Jan,,4,fail,,wrong_answer,4,pass,,,4,fail,,wrong_answer,9,pass,,,,pass,,,,fail,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,
s13.2,PsExec,Easy,Network Forensics,,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,,pass,,,3,pass,,,3,pass,01-Jan,,3,pass,,,3,pass,,,3,fail,,wrong_answer,4,pass,,,,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,pass,,,
s13.3,PsExec,Easy,Network Forensics,Credential Access,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,,pass,,,3,fail,,wrong_answer,3,fail,0/1,wrong_answer,3,pass,,,3,pass,,,3,fail,,wrong_answer,5,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s13.4,PsExec,Easy,Network Forensics,Execution,fail,0/1,round_exceed,,fail,,round_exceed,,pass,,,,pass,,,3,pass,,,7,pass,01-Jan,,11,pass,,,3,pass,,,2,pass,,,10,pass,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,,pass,,,,pass,,,
s13.5,PsExec,Easy,Network Forensics,Lateral Movement,fail,0/1,round_exceed,,fail,,round_exceed,,pass,,,,fail,,wrong_answer,4,fail,,wrong_answer,3,fail,0/1,wrong_answer,3,pass,,,3,pass,,,2,pass,,,3,pass,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,,pass,,,,fail,,,
s13.6,PsExec,Easy,Network Forensics,Lateral Movement,fail,0/1,round_exceed,,fail,,round_exceed,,pass,,,,pass,,,6,fail,,wrong_answer,3,pass,01-Jan,,3,pass,,,4,fail,,wrong_answer,2,pass,,,3,fail,,,,pass,,,,fail,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,
s13.7,PsExec,Easy,Network Forensics,Lateral Movement,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,8,fail,,wrong_answer,3,fail,0/1,wrong_answer,3,fail,,wrong_answer,6,fail,,wrong_answer,4,fail,,wrong_answer,7,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s14.1 (XLM_Macro),XLM_Macro,Medium,Malware Analysis,Defense Evasion,fail,0/1,give_up,,fail,,wrong_answer,,pass,,,,fail,,wrong_answer,7,pass,,,10,pass,01-Jan,,7,pass,,,5,pass,,,2,pass,,,7,pass,,,,pass,,,,,,,,pass,,,,fail,,,,pass,,,,pass,,,,fail,,,
s14.2,XLM_Macro,Medium,Malware Analysis,Defense Evasion,fail,0/1,wrong_answer,,fail,,wrong_answer,,pass,,,,pass,,,4,fail,,wrong_answer,16,pass,01-Jan,,6,pass,,,5,fail,,wrong_answer,6,pass,,,5,fail,,,,pass,,,,,,,,fail,,,,fail,,,,pass,,,,pass,,,,fail,,,
s14.3,XLM_Macro,Medium,Malware Analysis,Command and Control,fail,0/1,give_up,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,give_up,17,fail,,wrong_answer,7,pass,01-Jan,,6,pass,,,5,fail,,wrong_answer,3,pass,,,2,fail,,,,pass,,,,,,,,fail,,,,fail,,,,pass,,,,pass,,,,fail,,,
s14.4,XLM_Macro,Medium,Malware Analysis,Execution,fail,0/1,give_up,,fail,,wrong_answer,,pass,,,,fail,,give_up,6,fail,,wrong_answer,7,fail,0/1,wrong_answer,3,fail,,wrong_answer,3,fail,,wrong_answer,2,fail,,wrong_answer,2,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s14.5,XLM_Macro,Medium,Malware Analysis,Defense Evasion,fail,0/1,wrong_answer,,fail,,wrong_answer,,pass,,,,pass,,,4,fail,,wrong_answer,7,pass,01-Jan,,5,pass,,,4,fail,,wrong_answer,2,pass,,,4,fail,,,,pass,,,,,,,,fail,,,,pass,,,,pass,,,,pass,,,,fail,,,
s14.6,XLM_Macro,Medium,Malware Analysis,Defense Evasion,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,5,fail,,wrong_answer,5,fail,0/1,wrong_answer,3,fail,,wrong_answer,3,fail,,wrong_answer,2,fail,,wrong_answer,3,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,context limit,,
s14.7,XLM_Macro,Medium,Malware Analysis,Defense Evasion,fail,0/1,give_up,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,give_up,8,fail,,wrong_answer,4,pass,01-Jan,,3,pass,,,5,pass,,,2,fail,,wrong_answer,2,fail,,,,fail,,,,,,,,fail,,,,pass,,,,pass,,,,fail,,,,fail,,,
s14.8,XLM_Macro,Medium,Malware Analysis,Defense Evasion,fail,0/1,give_up,,fail,,wrong_answer,,fail,,round_exceed,,fail,,give_up,4,fail,,wrong_answer,5,pass,01-Jan,,3,pass,,,4,fail,,wrong_answer,2,pass,,,2,fail,,,,pass,,,,,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,
s14.9,XLM_Macro,Medium,Malware Analysis,Defense Evasion,fail,0/1,give_up,,fail,,wrong_answer,,fail,,round_exceed,,fail,,give_up,4,pass,,,4,pass,01-Jan,,3,pass,,,4,fail,,wrong_answer,2,pass,,,2,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s14.10,XLM_Macro,Medium,Malware Analysis,Execution,fail,0/1,give_up,,fail,,wrong_answer,,fail,,round_exceed,,fail,,give_up,4,fail,,wrong_answer,4,fail,0/1,wrong_answer,3,pass,,,3,fail,,wrong_answer,2,fail,,wrong_answer,2,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s14.11,XLM_Macro,Medium,Malware Analysis,Command and Control,fail,0/1,give_up,,fail,,give_up,,fail,,round_exceed,,fail,,give_up,3,fail,,wrong_answer,4,pass,01-Jan,,2,pass,,,3,fail,,wrong_answer,2,fail,,wrong_answer,2,fail,,,,pass,,,,,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,
s14.12,XLM_Macro,Medium,Malware Analysis,Execution,fail,0/1,give_up,,fail,,give_up,,fail,,round_exceed,,fail,,give_up,3,fail,,wrong_answer,4,pass,01-Jan,,3,fail,,wrong_answer,3,fail,,wrong_answer,2,fail,,wrong_answer,2,fail,,,,pass,,,,,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,
s14.13,XLM_Macro,Medium,Malware Analysis,Execution,fail,0/1,give_up,,fail,,give_up,,fail,,round_exceed,,fail,,wrong_answer,4,fail,,wrong_answer,4,pass,01-Jan,,3,pass,,,3,fail,,wrong_answer,2,fail,,wrong_answer,2,fail,,,,pass,,,,,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s15.1 (Bluesky),Bluesky,Medium,Network Forensics,Reconnaissance,fail,0/1,round_exceed,,pass,,,,pass,,,,pass,,,5,pass,,,4,pass,01-Jan,,4,pass,,,5,pass,,,5,pass,,,4,pass,,,,pass,,,,pass,,,,pass,,,,fail,,,,pass,,,,fail,,,,pass,,,
s15.2,Bluesky,Medium,Network Forensics,Initial Access,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,5,fail,,wrong_answer,6,fail,0/1,give_up,6,fail,,wrong_answer,7,fail,,wrong_answer,4,fail,,wrong_answer,5,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s15.3,Bluesky,Medium,Network Forensics,Initial Access,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,6,fail,,wrong_answer,5,fail,0/1,give_up,3,fail,,give_up,6,fail,,wrong_answer,3,fail,,give_up,10,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s15.4,Bluesky,Medium,Network Forensics,Lateral Movement,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,round_exceed,,fail,,wrong_answer,3,fail,,wrong_answer,6,fail,0/1,give_up,3,fail,,wrong_answer,7,fail,,wrong_answer,2,fail,,wrong_answer,2,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s15.5,Bluesky,Medium,Network Forensics,Privilege Escalation,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,round_exceed,,fail,,wrong_answer,4,fail,,wrong_answer,4,fail,0/1,give_up,4,fail,,wrong_answer,4,fail,,wrong_answer,2,fail,,wrong_answer,2,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,context limit,,
s15.6,Bluesky,Medium,Network Forensics,Execution,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,round_exceed,,pass,,,4,fail,,wrong_answer,3,pass,01-Jan,,3,pass,,,3,fail,,wrong_answer,3,fail,,wrong_answer,3,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s15.7,Bluesky,Medium,Network Forensics,Discovery,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,round_exceed,,pass,,,3,fail,,wrong_answer,4,fail,0/1,give_up,3,pass,,,3,pass,,,2,pass,,,2,pass,,,,fail,,,,pass,,,,fail,,,,fail,,,,pass,,,,pass,,,,fail,,,
s15.8,Bluesky,Medium,Network Forensics,Defense Evasion,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,round_exceed,,fail,,wrong_answer,3,fail,,wrong_answer,6,fail,0/1,give_up,3,pass,,,3,pass,,,2,fail,,wrong_answer,2,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,,pass,,,,pass,,,,fail,,,
s15.9,Bluesky,Medium,Network Forensics,Execution,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,round_exceed,,pass,,,3,pass,,,3,pass,01-Jan,,3,pass,,,3,fail,,wrong_answer,2,fail,,wrong_answer,2,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s15.10,Bluesky,Medium,Network Forensics,Persistence,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,round_exceed,,pass,,,3,fail,,wrong_answer,4,fail,0/1,give_up,3,pass,,,3,pass,,,3,fail,,wrong_answer,2,pass,,,,fail,,,,pass,,,,fail,,,,fail,,,,pass,,,,pass,,,,fail,,,
s15.11,Bluesky,Medium,Network Forensics,Credential Access,fail,0/1,round_exceed,,pass,,,,fail,,round_exceed,,pass,,,3,fail,,wrong_answer,2,fail,0/1,give_up,3,pass,,,3,pass,,,2,pass,,,2,pass,,,,pass,,,,pass,,,,fail,,,,fail,,,,pass,,,,pass,,,,fail,,,
s15.12,Bluesky,Medium,Network Forensics,Credential Access,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,round_exceed,,fail,,wrong_answer,5,fail,,wrong_answer,2,fail,0/1,give_up,3,pass,,,3,fail,,wrong_answer,3,fail,,wrong_answer,2,fail,,,,pass,,,,pass,,,,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,
s15.13,Bluesky,Medium,Network Forensics,Discovery,fail,0/1,round_exceed,,pass,,,,fail,,round_exceed,,pass,,,3,fail,,wrong_answer,2,pass,01-Jan,,3,pass,,,3,fail,,wrong_answer,3,pass,,,2,pass,,,,fail,,,,pass,,,,fail,,,,fail,,,,pass,,,,pass,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s16.1 (Tomcat),tomcat,Easy,Network Forensics,Reconnaissance,pass,01-Jan,,,pass,,,,,,,,fail,,wrong_answer,5,fail,,wrong_answer,4,pass,01-Jan,,3,pass,,,4,fail,,wrong_answer,4,pass,,,3,pass,,,,pass,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,,fail,,,
s16.2,tomcat,Easy,Network Forensics,,fail,0/1,wrong_answer,,fail,,give_up,,fail,,wrong_answer,,fail,,give_up,4,fail,,wrong_answer,3,pass,01-Jan,,3,pass,,,3,fail,,wrong_answer,3,pass,,,3,fail,,,,fail,,,,fail,,,,fail,,,,pass,,,,pass,,,,pass,,,,fail,,,
s16.3,tomcat,Easy,Network Forensics,Reconnaissance,fail,0/1,wrong_answer,,fail,,give_up,,fail,,wrong_answer,,pass,,,2,pass,,,3,pass,01-Jan,,3,pass,,,3,pass,,,3,pass,,,4,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s16.4,tomcat,Easy,Network Forensics,Reconnaissance,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,3,fail,,wrong_answer,3,pass,01-Jan,,3,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s16.5,tomcat,Easy,Network Forensics,Reconnaissance,pass,01-Jan,,,fail,,wrong_answer,,fail,,wrong_answer,,pass,,,3,pass,,,3,pass,01-Jan,,3,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,,fail,,,
s16.6,tomcat,Easy,Network Forensics,Initial Access,fail,0/1,wrong_answer,,fail,,round_exceed,,pass,,,,pass,,,3,fail,,wrong_answer,8,fail,0/1,give_up,4,pass,,,2,pass,,,3,pass,,,5,pass,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,,fail,,,
s16.7,tomcat,Easy,Network Forensics,Execution,fail,0/1,wrong_answer,,fail,,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,5,fail,,wrong_answer,,pass,01-Jan,,3,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,fail,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,
s16.8,tomcat,Easy,Network Forensics,Command and Control,fail,0/1,wrong_answer,,fail,,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,3,fail,,wrong_answer,,fail,0/1,give_up,2,fail,,wrong_answer,4,pass,,,3,fail,,wrong_answer,3,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s11.1 (btlo_Wordpress),wordpress,Easy,Miscellaneous,Credential Access,pass,01-Jan,wrong_answer,,pass,,,,pass,,,,pass,,,6,pass,,,4,pass,01-Jan,,3,pass,,,3,pass,,,3,fail,,wrong_answer,3,pass,,,,fail,,,,,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,
s11.2,wordpress,Easy,Miscellaneous,Reconnaissance,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,pass,,,3,pass,,,4,pass,01-Jan,,3,pass,,wrong_answer,3,pass,,,2,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,fail,,,,fail,context limit,,,fail,,,,pass,,,
s11.3,wordpress,Easy,Miscellaneous,Initial Access,fail,0/1,give_up,,fail,,wrong_answer,,fail,,wrong_answer,,pass,,,3,pass,,,3,pass,01-Jan,,3,pass,,,4,pass,,,3,pass,,,3,pass,,,,fail,,,,,,,,fail,,,,pass,,,,fail,,,,pass,,,,pass,,,
s11.4,wordpress,Easy,Miscellaneous,Execution,fail,0/1,give_up,,pass,,,,pass,,,,pass,,,5,pass,,,3,pass,01-Jan,,3,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,pass,,,,fail,,,,fail,,,,fail,,,
s11.5,wordpress,Easy,Miscellaneous,Command and Control,fail,0/1,give_up,,pass,,,,pass,,,,pass,,,3,pass,,,3,pass,01-Jan,,3,pass,,,3,pass,,,3,fail,,wrong_answer,3,pass,,,,pass,,,,,,,,pass,,,,pass,,,,fail,,,,pass,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s12.1 (btlo_RansomwareScript),ransom_script,Easy,Malware Analysis,Command and Control,pass,01-Jan,,,fail,,wrong_answer,,pass,,,,pass,,,9,pass,,,3,pass,01-Jan,,3,pass,,,3,pass,,,5,pass,,,3,pass,,,,pass,,,,,,,,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,
s12.2,ransom_script,Easy,Malware Analysis,Defense Evasion,fail,0/1,wrong_answer,,fail,,wrong_answer,,pass,,,,pass,,,4,pass,,,3,pass,01-Jan,,3,pass,,,3,pass,,,3,pass,,,4,pass,,,,pass,,,,,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,
s12.3,ransom_script,Easy,Malware Analysis,Impact,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,3,fail,,wrong_answer,3,pass,0/1,,5,pass,,,4,pass,,,4,pass,,,5,fail,,,,pass,,,,,,,,pass,,,,pass,,,,pass,,,,fail,,,,pass,,,
s12.4,ransom_script,Easy,Malware Analysis,Impact,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,round_exceed,,fail,,wrong_answer,3,pass,,,3,pass,01-Jan,,3,pass,,,5,fail,,wrong_answer,3,pass,,,4,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s12.5,ransom_script,Easy,Malware Analysis,Impact,pass,01-Jan,,,pass,,,,pass,,,,pass,,,3,pass,,,3,pass,01-Jan,,3,pass,,,4,fail,,wrong_answer,3,pass,,,3,fail,,,,fail,,,,,,,,fail,,,,fail,,,,pass,,,,fail,,,,pass,,,
s12.6,ransom_script,Easy,Malware Analysis,Command and Control,pass,01-Jan,,,pass,,,,pass,,,,pass,,,3,fail,,wrong_answer,3,pass,01-Jan,,3,pass,,give_up,5,pass,,,3,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,pass,,,,pass,,,,fail,,,,pass,,,
,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s7.1 (Btlo_phishing_email),phishing,Easy,Miscellaneous,Initial Access,pass,01-Jan,,1,pass,,,1,pass,,,,pass,,,9,pass,,,3,pass,01-Jan,,3,pass,,,4,pass,,,3,pass,,,4,pass,,,,pass,,,,,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s7.2,phishing,Easy,Miscellaneous,,pass,01-Jan,,1,pass,,,1,pass,,,,pass,,,3,pass,,,2,pass,01-Jan,,3,pass,,,3,pass,,,3,pass,,,4,pass,,,,pass,,,,,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s7.3,phishing,Easy,Miscellaneous,Initial Access,pass,01-Jan,,1,pass,,,1,pass,,,,pass,,,3,pass,,,2,pass,01-Jan,,3,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s7.4,phishing,Easy,Miscellaneous,Defense Evasion,pass,01-Jan,,1,pass,,,1,pass,,,,pass,,,3,pass,,,3,pass,01-Jan,,3,pass,,,3,pass,,,2,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s7.5,phishing,Easy,Miscellaneous,,pass,01-Jan,,1,pass,,,1,pass,,,,pass,,,3,pass,,,3,pass,01-Jan,,3,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s7.6,phishing,Easy,Miscellaneous,Defense Evasion,fail,0/1,wrong_answer,1,pass,,,1,pass,,,,pass,,,3,pass,,,3,pass,01-Jan,,3,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s7.7,phishing,Easy,Miscellaneous,Defense Evasion,fail,0/1,wrong_answer,1,fail,,round_exceed,1,fail,,round_exceed,,fail,,wrong_answer,6,fail,,wrong_answer,3,pass,01-Jan,,6,fail,,wrong_answer,6,fail,,wrong_answer,3,fail,,wrong_answer,10,fail,,,,fail,,,,,,,,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,
s7.8,phishing,Easy,Miscellaneous,,fail,0/1,wrong_answer,1,fail,,round_exceed,1,fail,,round_exceed,,fail,,wrong_answer,4,fail,,wrong_answer,3,fail,0/1,give_up,5,fail,,wrong_answer,4,fail,,wrong_answer,4,fail,,wrong_answer,3,fail,,,,fail,,,,,,,,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s8.1 (btlo_classical_injection),injection,Easy,Malware Analysis,Defense Evasion,fail,0/1,round_exceed,,pass,,,,pass,,,,pass,,,6,pass,,,4,pass,01-Jan,,4,pass,,,4,pass,,,3,pass,,,3,pass,,,,fail,,,,,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s8.2,injection,Easy,Malware Analysis,Defense Evasion,fail,0/1,round_exceed,,fail,,give_up,,fail,,round_exceed,,pass,,,4,pass,,,4,pass,01-Jan,,6,pass,,,4,fail,,wrong_answer,6,fail,,wrong_answer,3,fail,,,,pass,,,,,,,,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,
s8.3,injection,Easy,Malware Analysis,Execution,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,3,fail,,wrong_answer,4,fail,,give_up,4,fail,,wrong_answer,3,fail,,wrong_answer,6,fail,,wrong_answer,2,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s8.4,injection,Easy,Malware Analysis,Defense Evasion,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,pass,,,4,pass,,,3,pass,01-Jan,,3,pass,,,3,fail,,wrong_answer,3,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,pass,,,,pass,,,,fail,,,,fail,,,
s8.5,injection,Easy,Malware Analysis,Defense Evasion,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,pass,,,4,pass,,,4,fail,01-Jan,wrong_answer,4,fail,,wrong_answer,3,pass,,,4,fail,,wrong_answer,3,pass,,,,pass,,,,,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
